"plantio";"area";"dataplantio";"matgen";"espacamento";"parcela";"areaparc";"datamedicao";"idade";"fila";"cova";"fuste";"cat";"dap";"ht";"decliv_perc";"ffcc"
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;4;32;1;"Normal";10,76;15,7335398804083;6,54;0,43645922263506
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;4;33;1;"Normal";11,68;16,7156334525612;6,54;0,43537531541127
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;5;34;1;"Torta";12,19;17,0062529790146;6,54;0,433876049179293
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;5;35;1;"Torta";12,22;17,0162743419958;6,54;0,433753728161493
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;5;36;1;"Ponta Seca";9,84;15,4429203539549;6,54;0,440915884026736
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;5;37;1;"Ponta Seca";12,41;17,1164879718073;6,54;0,433213243389464
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;5;38;1;"Normal";12,03;16,9160607121843;6,54;0,434370094970039
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;5;39;1;"Ponta Seca";9,96;15,5331126207853;6,54;0,440525827756619
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;5;40;1;"Torta";12,7;17,2668084165246;6,54;0,432365820150837
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;5;41;1;"Normal";12,41;17,1164879718073;6,54;0,433213243389464
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;5;42;1;"Ponta Seca";12,45;17,1365306977696;6,54;0,433101021869284
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;6;43;1;"Normal";12,57;17,1966588756565;6,54;0,432730612387005
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;6;44;1;"Normal";12,13;16,9761888900712;6,54;0,434102050906807
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;6;45;1;"Dominante";12,7;18,1386669958848;6,54;0,436138174892814
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;6;46;1;"Normal";8,63;14,6211685895005;6,54;0,445731927635546
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;6;47;1;"Normal";11,68;16,7156334525612;6,54;0,43537531541127
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;6;48;1;"Normal";11,05;16,3147789333152;6,54;0,437281460515534
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;6;49;1;"Normal";10,57;15,974052591956;6,54;0,438617943183124
