m_parcela;m_plantio;matgen;espacamento;medicao;idade;dapmin;dapmed;dapmax;s2dap;dg;g;htmin;htmed;htmax;s2ht;ddom;hdom;vtcc
48;13;24;5,00 X 3,00;1;2,280629706;7,066479473;11,7149613;14,48309982;3,783631844;11,8724537;8,118434229;9,587895994;11,83181205;13,1;0,681594057;14,0494026;12,6625;46,09215289
49;13;24;5,00 X 3,00;1;2,280629706;4,360845441;9,6245794;14,16478994;2,731204073;9,763215672;6,288613933;8,34914945;11,04953352;13,5;0,640077295;11,82521227;11,8875;33,35532387
128;34;24;5,00 X 3,00;1;2,368240931;3,469577759;8,614583906;12,44591655;3,886529992;8,834311812;6,047916485;7,228948642;10,79033508;14;1,718076078;11,70982494;12,275;31,89578451
129;34;24;5,00 X 3,00;1;2,368240931;3,787887646;10,610113;13,11436731;2,869474508;10,74176018;5,920734709;3,602646802;11,98249439;14,1;3,374767774;12,27482499;13,11821548;34,54396433
130;34;24;5,00 X 3,00;1;2,368240931;3,055774907;9,735350956;13,20986028;3,686286059;9,920253261;7,316990415;8,261242763;12,00362241;14,8;2,870902566;12,64486023;14,4875;43,68979559
97;26;25;5,00 X 3,00;1;2,206707734;2,864788976;7,461820352;10,82253613;4,532658567;7,753758338;3,14791607;4,701158081;8,541852607;10,3;2,523185147;10,18193748;10,03303807;12,32950805
98;26;25;5,00 X 3,00;1;2,206707734;4,774648293;10,26549383;12,06394469;1,430568882;10,33349548;5,367404963;8,144696485;10,54938892;12,08614446;0,658739708;11,50690239;10,99826806;26,7257719
99;26;25;5,00 X 3,00;1;2,206707734;2,76929601;9,310564171;13,94197301;4,883065178;9,564296381;4,981246263;6,106332765;10,25890755;12,2;1,631856988;11,66207846;11,47825476;24,43626551
100;26;25;5,00 X 3,00;1;2,206707734;1,209577567;6,081708263;13,36901522;7,61835186;6,669819376;2,981513211;1,710422296;7,687602543;13,1154187;5,158814186;9,963099438;9,642150519;11,15406557
101;26;25;5,00 X 3,00;1;2,206707734;8,849014836;11,29506167;12,73239545;1,285421034;11,35084476;7,825515923;9,102752971;12,44496185;15,3;3,508642193;12,66873347;14,9125;47,40676942
102;27;26;5,00 X 3,00;1;2,453114305;5,793239929;10,95570659;14,89690267;2,81730616;11,08094387;6,30054631;8,537891188;12,70986406;15,7;1,613179885;13,26954338;14,625;38,78259633
103;27;26;5,00 X 3,00;1;2,453114305;5,98422586;11,80576;14,22845191;4,069103767;11,97213608;5,403490694;8,759496263;12,45375267;13,5;1,038303509;13,73109272;12,7125;32,36024813
104;27;26;5,00 X 3,00;1;2,453114305;6,302535746;10,23114987;11,93662073;0,873368425;10,27262443;4,199281953;9,1101991;11,94506669;12,8;0,320559713;11,23236011;12,15;23,96301777
11;3;27;5,00 X 3,00;1;2,198494182;2,037183272;11,42159534;13,33718423;2,688968682;11,53637852;7,159389987;4,441756837;12,81550416;15,3;1,660903591;12,9461178;13,28571429;43,97048215
